,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
641,2020-12-28,371.74,372.59,371.07,372.17,358.704529,39196359,39000400,0.43,0.11567,371.73,"December 28, 20",0.0011567
642,2020-12-24,368.08,369.03,367.45,369.0,355.64917,26553165,26457900,0.92,0.24995,368.39,"December 24, 20",0.0024995
643,2020-12-23,368.28,369.62,367.39,367.57,354.270966,46266987,46201400,-0.71,-0.19279,368.37,"December 23, 20",-0.0019279
644,2020-12-22,368.21,368.3317,366.03,367.24,353.95285,48545847,47949000,-0.97,-0.26344,367.45,"December 22, 20",-0.0026344
645,2020-12-21,364.97,378.46,362.03,367.86,354.550446,96516504,96386700,2.89,0.79185,366.31,"December 21, 20",0.0079185
646,2020-12-18,370.97,371.15,367.02,369.18,355.822632,136296347,136542300,-1.79,-0.48252,369.46,"December 18, 20",-0.0048252
647,2020-12-17,371.94,372.46,371.05,372.24,357.249115,64330700,64119500,0.3,0.08065817,371.59,"December 17, 20",0.0008065817
648,2020-12-16,369.82,371.16,368.8676,370.17,355.262543,58569131,58420500,0.35,0.09464064,369.94,"December 16, 20",0.0009464064
649,2020-12-15,367.4,369.59,365.92,369.59,354.705841,64214191,63865300,2.19,0.59608,367.84,"December 15, 20",0.0059608
650,2020-12-14,368.64,369.8,364.47,364.66,349.974426,69194228,69216200,-3.98,-1.08,366.61,"December 14, 20",-0.0108
651,2020-12-11,364.9,366.7402,363.26,366.3,351.548309,57626449,57698600,1.4,0.38367,365.46,"December 11, 20",0.0038367
652,2020-12-10,365.37,367.86,364.43,366.73,351.960968,57922988,57735400,1.36,0.37223,366.76,"December 10, 20",0.0037223
653,2020-12-09,370.88,371.05,365.95,366.85,352.076141,74057133,74098300,-4.03,-1.09,368.14,"December 09, 20",-0.0109
654,2020-12-08,367.72,370.78,367.67,370.17,355.262543,42268139,42458900,2.45,0.66627,369.53,"December 08, 20",0.0066627
655,2020-12-07,369.02,369.62,367.72,369.09,354.226013,49136033,48944300,0.07,0.01896916,368.92,"December 07, 20",0.0001896916
656,2020-12-04,367.32,369.85,367.22,369.85,354.955383,50407740,50749900,2.53,0.68877,368.8,"December 04, 20",0.0068877
657,2020-12-03,366.68,368.19,365.5,366.69,351.922668,62307982,62882000,0.01,0.00272717,366.9,"December 03, 20",2.72717e-05
658,2020-12-02,364.82,366.96,364.2,366.79,352.018616,45853208,45927000,1.97,0.53999,366.04,"December 02, 20",0.0053999
659,2020-12-01,365.57,367.68,364.93,366.02,351.279572,73961896,74231400,0.45,0.1231,365.95,"December 01, 20",0.001231
660,2020-11-30,362.83,363.12,359.17,362.06,347.479095,83588299,83872700,-0.77,-0.21222,361.71,"November 30, 20",-0.0021222
661,2020-11-27,363.84,364.18,362.58,363.67,349.024292,28479072,28514100,-0.17,-0.04672383,363.59,"November 27, 20",-0.0004672383
662,2020-11-25,363.13,363.16,361.48,362.66,348.054932,43657514,45330900,-0.47,-0.12943,362.51,"November 25, 20",-0.0012943
663,2020-11-24,360.21,363.81,359.29,363.22,348.592407,62621630,62415900,3.01,0.83562,362.05,"November 24, 20",0.0083562
664,2020-11-23,357.28,358.82,354.865,357.46,343.064331,62835493,63230600,0.18,0.05038065,356.91,"November 23, 20",0.0005038065
665,2020-11-20,357.5,357.72,355.25,355.33,341.020111,70365000,70417300,-2.17,-0.60699,356.48,"November 20, 20",-0.0060699
666,2020-11-19,355.6,358.18,354.15,357.78,343.371429,60224552,59940900,2.18,0.61305,356.47,"November 19, 20",0.0061305
